Date,Month,Day,CasesTotal,DeathsTotal,HospitalizationsTotal,CasesAge 017,CasesAge 1829,CasesAge 3039,CasesAge 4049,CasesAge 5059,CasesAge 6069,CasesAge 7079,CasesAge 80plus,CasesAge Unknown,Cases Female,Cases Male,Cases Unknown Gender,CasesLatinx,CasesAsianNonLatinx,CasesBlackNonLatinx,CasesWhiteNonLatinx,CasesOtherRaceNonLatinx,CasesUnknownRaceEthnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,DeathsLatinx,DeathsAsianNonLatinx,DeathsBlackNonLatinx,DeathsWhiteNonLatinx,DeathsOtherRaceNonLatinx,DeathsUnknownRaceEthnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,HospitalizationsLatinx,HospitalizationsAsianNonLatinx,HospitalizationsBlackNonLatinx,HospitalizationsWhiteNonLatinx,HospitalizationsOtherRaceNonLatinx,HospitalizationsUnknownRaceEthnicity
09/14/2020,9,14,425,3,16,63,104,92,65,57,27,9,8,0,221,202,2,187,9,61,83,7,78,0,0,0,0,1,0,1,1,0,1,2,0,3,0,0,0,0,0,1,4,0,1,2,4,2,2,0,7,9,0,8,0,5,3,0,0
03/07/2020,3,7,3,0,3,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,1,1,1,0
05/01/2020,5,1,1171,39,137,58,224,221,204,193,133,70,68,0,616,524,31,534,26,192,109,48,262,0,1,0,1,4,12,8,13,0,14,25,0,12,1,15,10,0,1,0,15,11,16,21,24,31,19,0,75,62,0,49,3,57,21,3,4
07/02/2020,7,2,254,6,19,25,80,43,39,28,21,10,8,0,144,110,0,78,5,61,50,6,54,0,0,0,0,1,1,1,3,0,3,3,0,3,0,2,1,0,0,0,5,2,3,1,3,1,4,0,9,10,0,6,0,6,5,1,1
05/03/2020,5,3,465,45,138,10,97,77,76,81,66,31,27,0,210,246,9,197,8,115,41,20,84,0,0,0,2,4,13,13,13,0,20,25,0,20,0,16,9,0,0,2,10,17,17,27,21,23,21,0,61,77,0,58,1,41,20,14,4
06/30/2020,6,30,266,3,23,25,92,59,39,24,16,5,6,0,136,129,1,107,3,53,48,3,52,0,0,0,0,0,1,2,0,0,2,1,0,1,0,1,1,0,0,1,4,2,3,3,6,2,2,0,11,12,0,8,0,11,4,0,0
08/08/2020,8,8,177,3,11,22,56,27,32,18,14,3,5,0,94,81,2,66,6,39,34,8,24,0,0,0,1,1,0,1,0,0,0,3,0,2,0,1,0,0,0,0,0,0,2,2,3,1,3,0,4,7,0,5,1,5,0,0,0
07/01/2020,7,1,262,13,17,16,96,51,31,27,25,6,10,0,153,108,1,92,1,64,55,4,46,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0,0,0,0,1,5,4,3,4,0,8,9,0,5,1,8,3,0,0
07/09/2020,7,9,288,8,27,27,95,58,40,34,22,7,5,0,136,151,1,85,4,87,60,9,43,0,0,0,0,1,2,5,0,0,4,4,0,3,0,3,2,0,0,0,4,3,1,10,5,2,2,0,12,15,0,7,2,14,4,0,0
05/27/2020,5,27,611,26,49,70,124,100,116,82,65,32,22,0,316,284,11,302,8,105,50,21,125,0,0,2,1,1,7,7,8,0,10,16,0,10,1,10,5,0,0,0,4,5,10,6,8,8,8,0,22,27,0,18,1,14,14,1,1
07/21/2020,7,21,287,1,26,25,82,57,55,29,22,8,9,0,140,147,0,91,3,88,52,17,36,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,5,6,0,5,3,4,0,13,13,0,6,1,12,5,0,2
